iter	Passed	Remaining
0	148	148341
1	149	74696
2	150	50116
3	151	37827
4	153	30510
5	154	25616
6	159	22621
7	163	20217
8	164	18102
9	165	16390
10	166	15008
11	168	13846
12	169	12855
13	183	12893
14	184	12097
15	185	11408
16	188	10915
17	190	10409
18	192	9956
19	194	9514
20	195	9106
21	196	8730
22	197	8388
23	198	8073
24	203	7927
25	205	7684
26	207	7481
27	208	7245
28	209	7025
29	210	6819
30	211	6625
31	213	6444
32	215	6320
33	217	6189
34	220	6072
35	222	5947
36	223	5809
37	224	5678
38	225	5553
39	226	5435
40	227	5323
41	238	5448
42	240	5346
43	241	5251
44	242	5153
45	245	5084
46	247	5010
47	248	4924
48	249	4840
49	250	4759
50	251	4681
51	252	4605
52	253	4533
53	254	4463
54	256	4399
55	257	4347
56	262	4343
57	263	4286
58	267	4264
59	269	4222
60	270	4166
61	271	4111
62	272	4058
63	273	4006
64	275	3956
65	276	3907
66	277	3868
67	279	3832
68	284	3843
69	285	3798
70	287	3755
71	288	3713
72	290	3684
73	292	3654
74	293	3616
75	294	3578
76	295	3541
77	296	3506
78	297	3470
79	299	3447
80	302	3430
81	313	3510
82	314	3473
83	316	3446
84	317	3421
85	319	3392
86	320	3366
87	323	3350
88	325	3331
89	327	3313
90	329	3291
91	330	3264
92	331	3237
93	333	3213
94	345	3294
95	353	3329
96	356	3319
97	358	3297
98	359	3275
99	361	3256
100	363	3236
101	365	3217
102	370	3223
103	374	3229
104	376	3213
105	378	3195
106	381	3186
107	384	3171
108	386	3157
109	491	3976
110	495	3967
111	556	4410
112	561	4404
113	568	4421
114	573	4410
115	574	4377
116	575	4344
117	576	4312
118	579	4289
119	581	4266
120	583	4236
121	584	4205
122	585	4175
123	586	4146
124	588	4117
125	590	4098
126	592	4074
127	596	4063
128	597	4035
129	598	4007
130	599	3979
131	601	3952
132	604	3939
133	605	3915
134	607	3889
135	608	3863
136	609	3837
137	610	3813
138	612	3794
139	614	3775
140	615	3751
141	630	3807
142	631	3785
143	634	3770
144	636	3751
145	638	3734
146	641	3720
147	642	3697
148	643	3674
149	644	3651
150	645	3629
151	646	3607
152	659	3652
153	660	3630
154	662	3609
155	663	3587
156	665	3571
157	666	3553
158	668	3537
159	671	3526
160	672	3504
161	673	3484
162	674	3464
163	675	3445
164	677	3426
165	678	3407
166	681	3401
167	684	3389
168	686	3375
169	687	3357
170	688	3339
171	690	3322
172	691	3304
173	692	3286
174	694	3274
175	696	3260
176	698	3246
177	700	3236
178	702	3220
179	703	3203
180	704	3186
181	705	3170
182	706	3153
183	707	3137
184	717	3159
185	718	3143
186	719	3128
187	721	3114
188	722	3099
189	723	3084
190	725	3072
191	727	3062
192	729	3052
193	731	3040
194	732	3025
195	733	3010
196	735	2996
197	736	2981
198	737	2967
199	741	2966
200	745	2964
201	747	2953
202	748	2938
203	749	2925
204	750	2911
205	751	2898
206	754	2888
207	756	2882
208	758	2871
209	760	2861
210	761	2848
211	762	2835
212	764	2823
213	765	2810
214	766	2798
215	777	2821
216	778	2809
217	779	2797
218	780	2784
219	781	2772
220	783	2760
221	785	2751
222	787	2742
223	788	2731
224	789	2719
225	790	2707
226	791	2695
227	792	2683
228	793	2672
229	794	2660
230	795	2649
231	796	2638
232	811	2670
233	812	2659
234	815	2656
235	817	2645
236	818	2635
237	819	2624
238	820	2612
239	821	2601
240	822	2591
241	824	2581
242	825	2570
243	826	2559
244	827	2550
245	837	2567
246	839	2558
247	840	2547
248	841	2537
249	842	2527
250	843	2517
251	845	2510
252	847	2503
253	848	2493
254	850	2483
255	851	2473
256	852	2463
257	853	2454
258	854	2444
259	855	2434
260	883	2502
261	886	2496
262	892	2499
263	904	2522
264	908	2518
265	913	2520
266	916	2514
267	921	2516
268	923	2509
269	930	2514
270	932	2509
271	933	2499
272	934	2489
273	935	2479
274	937	2470
275	938	2461
276	940	2453
277	942	2447
278	943	2438
279	947	2435
280	949	2429
281	950	2420
282	951	2411
283	953	2402
284	966	2423
285	968	2416
286	969	2409
287	973	2407
288	979	2408
289	980	2401
290	982	2393
291	984	2386
292	999	2412
293	1000	2403
294	1005	2403
295	1008	2397
296	1010	2391
297	1011	2383
298	1014	2377
299	1015	2369
300	1016	2361
301	1025	2370
302	1028	2365
303	1031	2361
304	1035	2359
305	1038	2355
306	1040	2349
307	1042	2342
308	1043	2334
309	1044	2325
310	1046	2317
311	1047	2309
312	1050	2306
313	1052	2299
314	1055	2294
315	1056	2286
316	1057	2278
317	1058	2270
318	1059	2262
319	1061	2256
320	1064	2252
321	1067	2247
322	1069	2242
323	1071	2236
324	1072	2228
325	1074	2220
326	1075	2213
327	1076	2205
328	1077	2197
329	1086	2205
330	1087	2198
331	1088	2190
332	1090	2184
333	1091	2177
334	1092	2169
335	1095	2164
336	1097	2158
337	1098	2152
338	1100	2146
339	1101	2139
340	1103	2131
341	1104	2124
342	1105	2116
343	1106	2109
344	1117	2122
345	1119	2115
346	1120	2109
347	1122	2102
348	1125	2099
349	1127	2093
350	1129	2088
351	1131	2083
352	1133	2077
353	1134	2070
354	1135	2063
355	1136	2056
356	1147	2067
357	1149	2060
358	1150	2054
359	1151	2047
360	1152	2040
361	1154	2035
362	1156	2029
363	1158	2024
364	1161	2020
365	1162	2014
366	1163	2007
367	1164	2000
368	1166	1993
369	1167	1987
370	1170	1984
371	1171	1978
372	1174	1974
373	1176	1969
374	1177	1963
375	1179	1956
376	1180	1950
377	1181	1943
378	1182	1937
379	1184	1932
380	1186	1926
381	1188	1922
382	1190	1918
383	1192	1912
384	1193	1906
385	1194	1899
386	1195	1893
387	1196	1887
388	1197	1880
389	1199	1876
390	1200	1870
391	1202	1865
392	1203	1859
393	1206	1856
394	1211	1854
395	1213	1850
396	1214	1844
397	1215	1838
398	1216	1832
399	1217	1826
400	1218	1820
401	1230	1830
402	1231	1825
403	1233	1820
404	1236	1816
405	1237	1811
406	1239	1805
407	1240	1800
408	1242	1795
409	1243	1789
410	1244	1784
411	1246	1778
412	1247	1773
413	1248	1767
414	1249	1761
415	1273	1788
416	1275	1782
417	1276	1777
418	1277	1771
419	1278	1765
420	1279	1760
421	1281	1754
422	1282	1749
423	1284	1744
424	1285	1739
425	1286	1733
426	1289	1730
427	1291	1725
428	1294	1722
429	1296	1719
430	1298	1714
431	1299	1709
432	1301	1703
433	1302	1698
434	1303	1692
435	1313	1699
436	1315	1694
437	1317	1690
438	1318	1685
439	1321	1682
440	1324	1678
441	1327	1675
442	1328	1670
443	1329	1665
444	1331	1661
445	1332	1655
446	1334	1650
447	1363	1680
448	1365	1675
449	1366	1669
450	1375	1674
451	1377	1669
452	1378	1664
453	1379	1659
454	1381	1654
455	1383	1650
456	1384	1645
457	1387	1641
458	1390	1638
459	1392	1634
460	1393	1628
461	1394	1623
462	1395	1618
463	1399	1616
464	1403	1614
465	1405	1610
466	1406	1605
467	1407	1600
468	1408	1595
469	1410	1590
470	1413	1587
471	1417	1585
472	1418	1580
473	1420	1575
474	1421	1571
475	1422	1566
476	1424	1561
477	1435	1567
478	1436	1562
479	1437	1557
480	1438	1552
481	1439	1547
482	1443	1544
483	1445	1540
484	1447	1537
485	1449	1533
486	1450	1528
487	1451	1523
488	1452	1518
489	1453	1513
490	1455	1508
491	1467	1514
492	1468	1509
493	1469	1504
494	1470	1500
495	1471	1495
496	1473	1490
497	1474	1486
498	1476	1482
499	1479	1479
500	1480	1474
501	1481	1469
502	1483	1465
503	1484	1460
504	1485	1456
505	1496	1461
506	1497	1456
507	1498	1451
508	1499	1446
509	1501	1442
510	1503	1438
511	1505	1435
512	1506	1430
513	1508	1425
514	1509	1421
515	1510	1416
516	1511	1411
517	1512	1407
518	1513	1402
519	1514	1397
520	1523	1400
521	1525	1396
522	1527	1392
523	1528	1388
524	1529	1383
525	1530	1379
526	1531	1374
527	1536	1373
528	1538	1369
529	1540	1365
530	1541	1361
531	1542	1357
532	1544	1353
533	1545	1348
534	1556	1353
535	1558	1349
536	1560	1345
537	1561	1341
538	1564	1337
539	1567	1334
540	1569	1332
541	1573	1329
542	1575	1326
543	1576	1321
544	1592	1329
545	1593	1325
546	1597	1323
547	1599	1319
548	1602	1316
549	1603	1311
550	1604	1307
551	1605	1303
552	1607	1299
553	1608	1294
554	1615	1295
555	1616	1290
556	1617	1286
557	1618	1282
558	1619	1278
559	1626	1277
560	1630	1275
561	1631	1271
562	1633	1267
563	1634	1263
564	1636	1259
565	1641	1258
566	1645	1256
567	1646	1252
568	1647	1248
569	1649	1244
570	1651	1240
571	1653	1237
572	1658	1236
573	1661	1232
574	1663	1229
575	1664	1225
576	1665	1221
577	1670	1219
578	1673	1216
579	1674	1212
580	1676	1208
581	1677	1204
582	1678	1200
583	1680	1197
584	1682	1193
585	1684	1190
586	1687	1187
587	1688	1183
588	1689	1178
589	1690	1174
590	1691	1170
591	1693	1166
592	1703	1169
593	1704	1165
594	1705	1161
595	1706	1157
596	1708	1153
597	1709	1149
598	1711	1145
599	1713	1142
600	1715	1138
601	1718	1136
602	1732	1140
603	1733	1136
604	1734	1132
605	1736	1129
606	1738	1125
607	1739	1121
608	1741	1117
609	1742	1113
610	1743	1110
611	1745	1106
612	1746	1102
613	1747	1098
614	1748	1094
615	1761	1097
616	1762	1094
617	1764	1090
618	1765	1086
619	1767	1083
620	1769	1079
621	1770	1076
622	1771	1072
623	1773	1068
624	1774	1064
625	1776	1061
626	1795	1067
627	1798	1065
628	1800	1061
629	1801	1058
630	1803	1054
631	1806	1052
632	1843	1068
633	1856	1071
634	1858	1068
635	1860	1064
636	1864	1062
637	1866	1058
638	1869	1056
639	1872	1053
640	1873	1049
641	1875	1045
642	1887	1047
643	1889	1044
644	1891	1040
645	1894	1038
646	1895	1034
647	1899	1032
648	1902	1028
649	1903	1025
650	1905	1021
651	1906	1017
652	1908	1014
653	1909	1010
654	1916	1009
655	1920	1006
656	1921	1003
657	1923	999
658	1924	995
659	1925	991
660	1937	993
661	1938	989
662	1940	986
663	1941	982
664	1948	981
665	1952	979
666	1954	975
667	1955	971
668	1956	968
669	1969	970
670	1970	966
671	1972	962
672	1975	960
673	1977	956
674	1980	953
675	1983	950
676	1985	947
677	1986	943
678	1987	939
679	1992	937
680	1995	934
681	1996	931
682	1998	927
683	2000	923
684	2001	920
685	2003	916
686	2005	913
687	2009	911
688	2012	908
689	2014	904
690	2015	901
691	2017	897
692	2035	901
693	2038	898
694	2040	895
695	2041	891
696	2043	888
697	2044	884
698	2045	880
699	2046	877
700	2047	873
701	2049	869
702	2061	870
703	2062	867
704	2063	863
705	2064	859
706	2066	856
707	2068	853
708	2070	849
709	2072	846
710	2073	842
711	2075	839
712	2076	835
713	2077	832
714	2078	828
715	2079	824
716	2088	824
717	2090	821
718	2091	817
719	2092	813
720	2093	810
721	2095	806
722	2096	803
723	2098	800
724	2100	796
725	2103	793
726	2104	790
727	2105	786
728	2106	783
729	2107	779
730	2108	775
731	2112	773
732	2114	770
733	2116	767
734	2118	763
735	2120	760
736	2121	756
737	2122	753
738	2123	749
739	2124	746
740	2126	743
741	2127	739
742	2129	736
743	2132	733
744	2133	730
745	2135	726
746	2136	723
747	2137	720
748	2138	716
749	2147	715
750	2150	712
751	2151	709
752	2152	705
753	2153	702
754	2154	699
755	2156	695
756	2158	692
757	2161	690
758	2164	687
759	2165	683
760	2166	680
761	2168	677
762	2169	673
763	2174	671
764	2180	669
765	2181	666
766	2182	662
767	2183	659
768	2184	656
769	2186	653
770	2188	649
771	2190	647
772	2193	644
773	2194	640
774	2195	637
775	2196	634
776	2197	630
777	2198	627
778	2199	623
779	2210	623
780	2212	620
781	2213	616
782	2214	613
783	2215	610
784	2217	607
785	2218	604
786	2220	600
787	2221	597
788	2222	594
789	2224	591
790	2225	588
791	2226	584
792	2227	581
793	2228	578
794	2229	574
795	2251	576
796	2252	573
797	2253	570
798	2254	567
799	2255	563
800	2257	560
801	2258	557
802	2259	554
803	2260	551
804	2262	548
805	2265	545
806	2266	542
807	2267	538
808	2269	535
809	2271	532
810	2272	529
811	2273	526
812	2274	523
813	2276	520
814	2277	516
815	2278	513
816	2279	510
817	2281	507
